Company Name,Registration code,VAT,Manager,Address,Website,Work hours,SS insurer code,Transport,Authorized capital,Company age,Employees,Average salary,Social insurance taxes,Sales revenue From,Sales revenue To,Rating,No. Rated,Category,Other Categories,Facebook
"Apskaitos paslaugos ir konsultacijos, MB",302431753,LT100004902816,"Asta Šuminienė, direktorė","Gailutės g. 23-5, Kaunas",,,2029148,,"2,896.20 €",11 years 5 months 28 days,1,,,0,"5000
																",7.3,3,Accounting services,[],
"Apskaitos projektas, UAB",304458471,LT100011320410,"Gitana Tamašauskienė, direktorė","Inovacijų g. 1, Biruliškių k., LT-54469 Kauno r.",,,2928058,2021-01: 1 car (owns),"3,000.00 €",4 years 17 days,32,"1,480.96 € (2021-01)","9,004.28 € (2021-01)",200001,"300000
																",5.6,16,Accounting services,[],
"Apskaitos raktas, MB",304160457,LT100011415219,"Airina Radzevičienė, direktorė","V. Krėvės pr. 64-43, LT-50399 Kaunas",,,2396485,2021-01: 1 car (uses),,5 years 1 month 26 days,4,452.00 € (2021-01),431.42 € (2021-01),50001,"100000
																",7.7,23,Accounting services,[],
"Apskaitos sprendimų centras, UAB",304641558,,"Ana Gradzevičienė, direktorė","Akacijų g. 3, Skaidiškių k., LT-13268 Vilniaus r.",,,3079676,,"2,500.00 €",3 years 5 months 11 days,4,61.03 € (2021-01),53.32 € (2021-01),30001,"50000
																",9.0,3,Accounting services,[],
"UAB ""Apskaitos strategija""",302670625,,"Jūratė Lenkauskienė, direktorė","Gedminų g. 18-54, Klaipėda",http://www.apskaitosstrategija.lt,,2126238,,"2,896.00 €",9 years 5 months 4 days,3,,,20001,"30000
																",5.9,13,Accounting services,[],
"Apskaitos verslas, MB",303224444,,"Jurgita Janina Vaitiekūnienė, direktorė","Ryliškių g. 6, LT-14187 Vilnius",www.apskaitosverslas.lt,,2256318,2021-01: 1 car (owns),,7 years 1 month 13 days,,,,10001,"20000
																",7.5,4,Accounting services,[],
"Apskaitos žinynas, MB",304418808,LT100013719918,"Neringa Stulpinaitė, direktorius","Kalvarijų g. 131, LT-08221 Vilnius",,,2855735,,,4 years 3 months 28 days,3,,,30001,"50000
																",9.7,38,Accounting services,[],
"Ardika, UAB",304173223,LT100010215816,"Robertas Mileris, direktorius","Vaivorykštės g. 20, Noreikiškių k., LT-53365 Kauno r.",,,2426014,2021-01: 1 car (owns),"2,500.00 €",5 years 1 month,1,,,0,"5000
																",6.7,6,Accounting services,[],
"Aronekos apskaita, UAB",304330393,LT100010359915,"Tadas Petrauskas, direktorius","Sporto g. 13, Nemėžio k., LT-13262 Vilniaus r.",,,2803703,,"2,500.00 €",4 years 6 months 24 days,3,,,10001,"20000
																",8.8,8,Accounting services,[],
"UAB ""AS Investicijos""",302758858,,"Jonas Janušauskas, direktorius","Avižų g. 49, Vilnius",,,2153184,,"2,896.00 €",8 years 10 months 21 day,1,,,0,"5000
																",8.3,3,Accounting services,[],
UAB AT Consult,302617124,,"Algirdas Tamašauskas, direktorius","Kiemelių g. 1, Stasiūnų k., Kaišiadorių r.",,,2102085,,"2,896.20 €",9 years 10 months 14 days,1,,,0,"5000
																",5.0,4,Accounting services,[],
"Atėnė ir Ko, UAB",300549482,LT100003818911,"Rima Ukrainceva, direktorė","Didžprūdžio g. 13, Didžprūdžių k., LT-40427 Kupiškio r.",,,982249,,"2,896.00 €",14 years 11 months 17 days,7,630.45 € (2021-01),843.62 € (2021-01),50001,"100000
																",3.2,20,Accounting services,[],
UAB Atomus,302841229,LT100007177510,"Ramūnas Matukaitis, direktorius","M. K. Čiurlionio g. 84B-59, LT-03170 Vilnius",,,2176042,,"2,896.20 €",8 years 6 months 17 days,2,,,20001,"30000
																",9.6,19,Accounting services,[],
"Atrama NT, AB",303395662,LT100008868219,"Darius Puras, direktorius","Raudondvario pl. 162, LT-47174 Kaunas",,,2297799,"2021-01: 6 cars (3 owns, 3 uses)","1,015,000.00 €",6 years 5 months 14 days,7,"2,211.13 € (2021-01)","3,487.36 € (2021-01)",300001,"500000
																",4.8,23,Accounting services,[],
"Atsvara, UAB",303340872,LT100008679615,"Juras Valinauskas, direktorius","Pramonės g. 27-3, LT-89214 Mažeikiai",,,2285000,2021-01: 1 car (owns),"2,895.00 €",6 years 8 months 1 day,1,,,30001,"50000
																",6.0,5,Accounting services,[],
"Audit&accounting, UAB",302466537,,Laima Mikšytė,"A. Goštauto g. 8-356, LT-01108 Vilnius",,,2039728,2021-01: 1 car (owns),"2,896.00 €",11 years 2 months 17 days,4,325.00 € (2021-01),299.92 € (2021-01),50001,"100000
																",3.6,20,Accounting services,[],
"Audito paslaugos, UAB",300671194,,"Janina Lapėnienė, generalinis direktorius","S. Stanevičiaus g. 34-39, LT-07126 Vilnius",,,874889,,"2,900.00 €",13 years 10 months 16 days,1,,,20001,"30000
																",6.3,3,Accounting services,[],
"Audronės studija, UAB",303239802,LT100008398612,"Kęstutis Bunikis, direktorius","Vilniaus g. 23, LT-01402 Vilnius",,,2260331,2021-01: 1 car (owns),"2,896.00 €",7 years 20 days,5,544.00 € (2021-01),601.06 € (2021-01),50001,"100000
																",7.0,2,Accounting services,"['Accounting services', 'Manufacturing']",
"Aukso valda, UAB",303466376,LT100009002917,"Renata Barakauskienė, direktorė","Laisvės al. 40, Kaunas",,,2308249,2021-01: 2 cars (owns),"140,333.90 €",6 years 3 months 12 days,1,,,30001,"50000
																",9.0,1,Accounting services,[],
"Autocentro projektas, UAB",303022204,LT100011448316,"Virgius Navagruckas, direktorius","Melioratorių g. 28A, Vilnius",,,2207175,,"58,209.60 €",7 years 11 months 14 days,1,,,20001,"30000
																",9.0,1,Accounting services,[],
"AV grupė, UAB",302818401,LT100007000819,"Algirdas Vaitkevičius, direktorius","P. Vileišio g. 2-3, Mažeikiai",,,2171432,2021-01: 1 car (owns),"2,896.00 €",8 years 7 months 22 days,6,627.05 € (2021-01),841.20 € (2021-01),300001,"500000
																",3.7,29,Accounting services,[],
"AVB Grupė, UAB",302489945,,Vaidas Balsys,"Energetikų g. 8, Kaunas",,,2049161,,"2,896.00 €",10 years 11 months 16 days,2,,,20001,"30000
																",7.5,8,Accounting services,[],
"Ąžuolas LT, UAB",303403027,LT100013365210,"Romas Navickas, direktorius","A. Mickevičiaus g. 39-105, LT-44244 Kaunas",,,2298717,,"2,896.00 €",6 years 5 months 8 days,,,,100001,"200000
																",7.3,15,Accounting services,[],
"B4B LT, UAB",305147459,LT100012956112,"Jurgita Adomaitienė, direktorius","Naujoji g. 3, LT-62119 Alytus",,,3423721,,"2,500.00 €",1 year 10 months 2 days,3,"1,153.85 € (2021-01)","1,117.08 € (2021-01)",10001,"20000
																",9.3,12,Accounting services,[],
"Baltijos audito grupė, UAB",121755793,LT217557917,"Gediminas Bagdžiūnas, direktorius","Kareivių g. 19, LT-09133 Vilnius",,,15024,,"2,896.20 €",28 years 1 month 14 days,1,,,0,"5000
																",4.0,2,Accounting services,[],
"UAB ""Baltoptik NT""",302662226,,"Paulius Kersnauskas, direktorius","Vilniaus g. 4, Vilnius",,,2122467,,"34,754.00 €",9 years 6 months 1 day,2,,,0,"5000
																",6.7,6,Accounting services,[],
"Baltos bangos, UAB",303361208,,"Andrius Šulnis, direktorius","Turniškių g. 15-1, LT-10104 Vilnius",,,2289857,,"2,900.00 €",6 years 7 months 1 day,1,,,0,"5000
																",8.0,3,Accounting services,[],
UAB BergHouse,302754781,LT100006809010,"Yury Pukhkyy, direktorius","Gedimino pr. 33-2, LT-01104 Vilnius",,,2150657,,"632,000.00 €",8 years 11 months 4 days,1,,,10001,"20000
																",3.3,21,Accounting services,[],
"BORNHOLMAS, UAB",302906303,LT100007273110,"Vilius Rimkus, direktorius","Naugarduko g. 84, LT-03160 Vilnius",,,2188416,,"4,192,799.99 €",8 years 4 months,1,,,300001,"500000
																",4.5,2,Accounting services,[],
"UAB ""Bpo Apskaita""",301536018,,"Albinas Motiejūnas, direktorius","Gelvonų g. 40-83, Vilnius",,,617187,,"2,900.00 €",13 years 1 month 1 day,,,,0,"5000
																",4.0,3,Accounting services,[],
"Bravorenta, UAB",303482366,LT100009032818,"Ignas Kučinskas, direktorius","Lingailių g. 6, LT-79241 Šiauliai",,,2310707,,"60,900.00 €",6 years 2 months 29 days,1,,,20001,"30000
																",7.9,22,Accounting services,[],
"Bright House LT, UAB",303044834,,,"Maironio g. 26B, LT-44249 Kaunas",,,2211634,,"194,335.03 €",7 years 10 months 15 days,,,,0,"5000
																",5.4,16,Accounting services,[],
"Buhalterija ir projektai, MB",305404416,LT100013130910,"Ieva Monstvilaitė, direktorė","Judros g. 41, Viešvėnai I, LT-88405 Telšių r.",,,3534203,,,1 year 2 months 13 days,2,,,,,,,Accounting services,[],
"Buhalterija Jums, UAB",303500017,LT100009061014,"Dovilė Mačiulytė, direktorė","Jaunystės g. 31-38, LT-82166 Radviliškis",,,2312539,2021-01: 1 car (owns),"2,896.00 €",6 years 2 months 14 days,2,,,30001,"50000
																",6.3,29,Accounting services,[],
"Buhalterija verslui, UAB",302592226,LT100011304913,"Jūratė Brigita Keturkienė, direktorė","Marvelės g. 3, Kaunas",,,2092604,2021-01: 2 cars (uses),"2,896.00 €",10 years 20 days,4,845.63 € (2021-01),802.03 € (2021-01),50001,"100000
																",6.1,10,Accounting services,[],
"Buhalterinė magija, MB",305600799,LT100013311412,"Asta Staniulytė, direktorė","Romuvos g. 53A, LT-47199 Kaunas",,,3731473,,,6 months 22 days,2,,,,,10.0,2,Accounting services,[],
"Buhalterinės apskaitos centras, UAB",303218690,LT100009232911,"Marina Gaivoronskaja, direktorė","Taikos g. 25-12, LT-05261 Vilnius",,,2254717,,"2,896.00 €",7 years 1 month 23 days,3,,,10001,"20000
																",7.7,12,Accounting services,[],
"Buhalterinės apskaitos paslaugų biuras, UAB",303566451,,"Ingrida Savickienė, direktorė","A. Mackevičiaus g. 27-2, LT-86128 Kelmė",,,2318783,2021-01: 1 car (uses),"2,500.00 €",6 years 27 days,4,,,20001,"30000
																",9.0,4,Accounting services,[],
"Buhalterinių paslaugų biuras, MB",303138486,,"Irena Nikandrovienė, direktorė","Kaštonų g. 15, Skaidiškės, LT-13268 Vilniaus r.",http://www.buhalterinisbalansas.lt,,2236818,,,7 years 5 months 21 day,2,,,30001,"50000
																",5.3,3,Accounting services,[],
"Buhalterio kontora, MB",303375282,,"Liudmila Šaltupienė, administracijos vadovas","A. Jucio g. 39-21, LT-90148 Plungė",,,2293058,2021-01: 1 car (owns),,6 years 6 months 12 days,1,,,10001,"20000
																",4.8,4,Accounting services,[],
"Buhalterių akademija, VšĮ",303115078,,"Ksenija Maculevičiūtė, direktorė","Dariaus ir Girėno g. 11-12, LT-02170 Vilnius",,,2230999,,"2,896.20 €",7 years 6 months 27 days,3,,,,,5.8,12,Accounting services,[],
UAB BW Capital,302784283,LT100008189913,Gedvidas Pikelis,"Ulonų g. 5, LT-08240 Vilnius",,,2161389,2021-01: 1 car (owns),"2,896.00 €",8 years 9 months 15 days,2,,,100001,"200000
																",9.7,3,Accounting services,[],
"Cantera LT, UAB",303043807,LT100007760918,"Anastasia Novosad, direktorė","Savanorių pr. 18-2, LT-03159 Vilnius",,,2211346,2021-01: 1 car (uses),"544,882.40 €",7 years 10 months 16 days,4,,,100001,"200000
																",7.6,9,Accounting services,[],
"CEILONAS, UAB",302906171,LT100007274119,"Vilius Rimkus, direktorius","Naugarduko g. 84, LT-03160 Vilnius",,,2188398,,"6,695,299.31 €",8 years 4 months,1,,,500001,"1000000
																",4.5,2,Accounting services,[],
"Dagas NT, UAB",303340388,LT100008679017,"Renata Ratomskytė, direktorė","Islandijos pl. 131F, LT-49169 Kaunas",,,2285057,,"2,896.00 €",6 years 8 months 1 day,1,,,50001,"100000
																",6.0,2,Accounting services,[],
"Dasolva, UAB",304080630,LT100009641512,"Rimvydas Baranauskas, direktorius","Gabijos g. 2B-42, LT-12103 Vilnius",,,2347643,,"2,500.00 €",5 years 6 months 19 days,1,,,300001,"500000
																",6.3,9,Accounting services,[],
"Dirvolika, UAB",303112954,LT100007961818,"Gediminas Bronislovas Rimkevičius, direktorius","Gynėjų g. 14, LT-01109 Vilnius",http://www.ekotra.lt,,2230111,,"133,708.27 €",7 years 7 months 1 day,,,,30001,"50000
																",4.0,2,Accounting services,[],
"DMND, UAB",301532048,,"Doycho Ivanov Manchorov, direktorius","Parko g. 60-1111, Vilnius",,,965935,,"2,896.00 €",13 years 1 month 9 days,1,,,20001,"30000
																",4.0,2,Accounting services,[],
"Dokumentų visuma, UAB",300638714,,"Asta Poškienė, direktorė","Patilžės g. 20-1, Mazūriškių k., LT-92377 Klaipėdos r.",,,963250,2021-01: 1 car (owns),"2,896.00 €",14 years 1 month 4 days,1,,,10001,"20000
																",9.7,3,Accounting services,[],
"Dovinės žemė, UAB",303162882,,"Jonas Kaulickas, direktorius","Sodybinė g. 27, Daukšiai, LT-69142 Marijampolė",,,2241448,,"822,666.72 €",7 years 4 months 24 days,2,,,30001,"50000
																",5.7,3,Accounting services,[],
"UAB ""Druskininkų kurortas""",302682474,,"Mikhail Shulepov, direktorius","Mizarų g. 2, Druskininkai",,,2131033,2021-01: 1 car (uses),"29,104.80 €",9 years 3 months 29 days,2,,,20001,"30000
																",7.0,1,Accounting services,[],
"Duventos NT, UAB",303704354,LT100009323919,"Rimantas Šiaučiūnas, direktorius","Pramonės g. 17, LT-28216 Utena",,,2320776,,"2,500.00 €",6 years 11 days,2,,,50001,"100000
																",9.3,3,Accounting services,[],
"EB apskaita, UAB",302452092,,"Jūratė Vachauzienė, direktorius","Laisvės al. 101A, LT-44291 Kaunas",,,2034806,2021-01: 1 car (owns),"2,896.00 €",11 years 4 months 5 days,2,,,20001,"30000
																",5.3,9,Accounting services,[],
"Eirelita, UAB",125246217 (old code 2524621),,Arvydas Žygis,"Didlaukio g. 60-21, LT-08327 Vilnius",http://www.eirelita.lt,,44548,,"2,954.12 €",20 years 11 months 10 days,,,,,,8.0,1,Accounting services,[],
"Eisprom, UAB",303435384,LT100008943613,"Arūnas Kontautas, direktorius","Pilviškių g. 48, Vilkaviškis",,,2304173,,"2,896.00 €",6 years 4 months 9 days,2,,,100001,"200000
																",9.3,4,Accounting services,[],
"Eivinta, UAB",303247375,LT100008441817,"Aloyzas Beržanskis, direktorius","Vištyčio g. 40, Kybartai, Vilkaviškio r.",,,2261791,,"2,896.00 €",7 years 10 days,2,,,100001,"200000
																",9.0,2,Accounting services,[],
"Ekonomista, MB",304959703,LT100012156515,"Rasa Traberg, direktorė","Armatūrininkų g. 6-3, LT-52372 Kaunas",,,3354832,,,2 years 3 months 5 days,1,,,10001,"20000
																",7.7,3,Accounting services,[],
UAB Ekosana,302920502,,Giedrius Lukšas,"Europos pr. 16-9, LT-46326 Kaunas",,,2190959,,"2,896.20 €",8 years 3 months 9 days,,,,0,"5000
																",4.1,12,Accounting services,[],
"Elgoja, UAB",302432225,,"Aivaras Verbickas, direktorius","S. Stanevičiaus g. 100-26, Vilnius",,,2029698,,"2,896.20 €",11 years 5 months 24 days,2,,,5001,"10000
																",5.8,9,Accounting services,[],
"Erapskaita, MB",305360101,LT100013274010,"Erika Ramonienė, direktorė","Mokyklos g. 4D, Dupulčiai, LT-97159 Kretingos r.",,,3521848,,,1 year 3 months 6 days,3,,,5001,"10000
																",,,Accounting services,[],
"Eukrona, UAB",303435516,LT100008946214,"Robert Gustav Tollerud, direktorius","Islandijos pl. 209A, LT-49163 Kaunas",,,2304220,,"2,896.00 €",6 years 4 months 9 days,2,,,100001,"200000
																",8.5,2,Accounting services,[],
"Eurobuhalterija, UAB",303271764,,"Aušra Žėkienė, direktorė","Kęstučio g. 33, Seirijai, LT-67227 Lazdijų r.",,,2267493,,"2,500.00 €",6 years 11 months 8 days,4,,,5001,"10000
																",8.1,17,Accounting services,[],
"Individuali įmonė ""FALKON""",302603548,,Artur Kovaliov,"Miško g. 42, Švenčionys",,,2097444,,,9 years 11 months 17 days,2,,,,,9.2,5,Accounting services,[],
"UAB ""Fantina""",302920751,LT100007380019,"Alvydas Ringaila, direktorius","Švitrigailos g. 7, LT-03110 Vilnius",,,2190993,2021-01: 2 cars (owns),"2,896.00 €",8 years 3 months 9 days,2,,,30001,"50000
																",7.1,7,Accounting services,[],
"UAB ""Feorenta""",302904423,,"Jan Sokolovskij, direktorius","H. Manto g. 6A-22, Klaipėda",,,2188183,,"2,896.20 €",8 years 4 months 2 days,,,,50001,"100000
																",8.0,1,Accounting services,[],
"FEZ Business Management, UAB",301554607,,"Mindaugas Sereičikas, direktorius","Terminalo g. 3, Biruliškių k., LT-54469 Kauno r.",,,619947,,"2,896.00 €",13 years 11 days,1,,,0,"5000
																",9.0,1,Accounting services,[],
"UAB ""Finance Accounting And Consulting""",302331265,,"Lina Pileičikaitė, direktorė","Baldininkų g. 19, Karmėlava, Kauno r.",,,2014670,,"2,896.20 €",11 years 10 months 12 days,,,,0,"5000
																",7.5,4,Accounting services,[],
"Financial group, UAB",302325561,,"Linas Skurka, direktorius","S. Stanevičiaus g. 94-18, Vilnius",,,2012651,,"2,896.20 €",11 years 11 months 2 days,5,264.43 € (2021-01),255.80 € (2021-01),10001,"20000
																",7.1,16,Accounting services,[],
"Finansai verslui, UAB",300548658,,"Renata Pažūsienė, direktorius","Visorių g. 8, LT-08300 Vilnius",http://www.finansaiverslui.lt,,,,"2,896.20 €",14 years 11 months 18 days,,,,,,6.0,2,Accounting services,[],
"Finanselta, UAB",305583378,,,"Architektų g. 56-101, LT-04111 Vilnius",,,3721743,,"2,500.00 €",7 months 30 days,4,201.75 € (2021-01),176.35 € (2021-01),,,10.0,1,Accounting services,[],
"Finansinio stabilumo garantas, UAB",304133022,LT100011305114,"Renata Stepuro, direktorė","Taurijos g. 82, Taurija, LT-13110 Vilniaus r.",,,2378648,,"2,500.00 €",5 years 3 months 23 days,2,,,10001,"20000
																",9.0,7,Accounting services,[],
"Finansinis faktorius, UAB",300607868,,"Veronika Leščinskienė, direktorė","Valonų g. 18, LT-11330 Vilnius",,,775807,,"2,896.00 €",14 years 4 months 16 days,1,,,30001,"50000
																",5.9,7,Accounting services,[],
"UAB ""FINANSO""",302631234,,"Dariuš Gudalevič, direktorius","Gabijos g. 85-44, LT-06105 Vilnius",,I-V 09:00-18:00,2108536,2021-01: 1 car (owns),"2,896.00 €",9 years 9 months 8 days,1,,,5001,"10000
																",9.1,14,Accounting services,[],
"Finansų ekspertizė, UAB",300612541,,"Ina Valasevič, direktorė","Žirmūnų g. 41-15, Vilnius",,,776250,2021-01: 1 car (owns),"2,896.00 €",14 years 4 months 2 days,3,,,30001,"50000
																",3.8,4,Accounting services,[],
"Finansų erdvė, UAB",126382921,,"Sergey Kozlov, direktorius","Tilto g. 8-5, LT-01101 Vilnius",,,720603,,"2,896.20 €",17 years 3 months 6 days,,,,0,"5000
																",3.5,2,Accounting services,[],
"Finansų gidas, UAB",302324242,,"Nijolė Gaurilčikienė, direktorius","Didžioji g. 44, Kėdainiai",,,2009061,,"2,896.00 €",11 years 11 months 6 days,3,,,30001,"50000
																",6.9,9,Accounting services,[],
"IĮ ""Finansų Srautas""",301540575,,Valė Urbonienė,"J. Basanavičiaus g. 47C, LT-57284 Kėdainiai",,,948404,2021-01: 1 car (owns),,13 years 23 days,,,,,,5.8,6,Accounting services,[],
"UAB ""Finansų strategija""",302777673,,Irena Smetoniutė,"Gaurės g. 22a-6, LT-72337 Tauragė",,,2159221,2021-01: 1 car (owns),"2,896.00 €",8 years 9 months 25 days,,,,0,"5000
																",5.4,5,Accounting services,[],
"Finapolio apskaita, UAB",304830224,,"Giedrė Adomaitienė, direktorė","Kazimiero Ladygos g. 1-109, LT-08235 Vilnius",http://www.finapolis.lt,,3194429,,"2,500.00 €",2 years 10 months 12 days,2,,,0,"5000
																",9.0,3,Accounting services,[],
"Findepo apskaita, UAB",303130532,,"Rimvydas Kucinas, direktorius","Vilniaus g. 14A, Kaniūkų k., LT-64104 Alytaus r.",http://www.findep.lt,,2234952,,"2,896.00 €",7 years 6 months,6,342.74 € (2021-01),373.00 € (2021-01),30001,"50000
																",6.8,13,Accounting services,[],
